Netzwerkforschung Sprecher,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst,SOFISwiki_instID
"Kelle, Udo",Universität der Bundeswehr Hamburg,Visiting Research Fellow,Soziologie    ,1996,University of Surrey,Department of Sociology,Department of Sociology (Guildford),29718
"Kelle, Udo",Universität der Bundeswehr Hamburg,Wissenschaftlicher Mitarbeiter und Dozent,,1997-2005,Universität Vechta,Insitut für interdisziplinäre Gerontologie ,Institut für Gerontologie (Vechta),20184
"Kelle, Udo",Universität der Bundeswehr Hamburg,Vertretung Professur,Qualitative Forschungsmethoden,2001,Universität Bielefeld,Fakultät für Soziologie,Fak. für Soziologie (Bielefeld),8592
"Kelle, Udo",Universität der Bundeswehr Hamburg,Habilitation,Venia: Soziologie,2005,Universität Bremen,,Universität Bremen (Bremen),3303
"Kelle, Udo",Universität der Bundeswehr Hamburg,Professor,Methoden empirischer Sozialforschung,2005-2010,Philipps-Universität Marburg,,Philipps-Universität Marburg (Marburg),3338
"Kelle, Udo",Universität der Bundeswehr Hamburg,Gastprofessor,,2005,Institut für Höhere Studien,,Institut für Höhere Studien (Wien),1721
"Kelle, Udo",Universität der Bundeswehr Hamburg,Gastprofessor,,2007,Institut für Höhere Studien,,Institut für Höhere Studien (Wien),1721
"Kelle, Udo",Universität der Bundeswehr Hamburg,Professor,Methoden empirischer Sozialforschung und Statistik,2010/08,Helmut-Schmidt-Universität Hamburg,Fakultät für Geistes- und Sozialwissenschaften,Fak. für Geistes- und Sozialwissenschaften (Hamburg),31068
"Keller, Reiner",Universität Augsburg,Studium ,"Soziologie, Sozialpolitik, Sozialplanung und Verwaltungswissenschaften ",1981-1988,Universität Saarbrücken,n,"Universität des Saarlandes (Saarbrücken)",3345
"Keller, Reiner",Universität Augsburg,Studium ,"Soziologie, Sozialpolitik, Sozialplanung und Verwaltungswissenschaften ",1981-1988,Universität Rennes (Frankreich),n,n,n
"Keller, Reiner",Universität Augsburg,Studium ,"Soziologie, Sozialpolitik, Sozialplanung und Verwaltungswissenschaften ",1981-1988,Universität Bamberg,n,"Otto-Friedrich-Universität Bamberg (Bamberg)",3295
"Keller, Reiner",Universität Augsburg,Diplom ,Soziologie,1988,Universität Bamberg,n,"Otto-Friedrich-Universität Bamberg (Bamberg)",3295
"Keller, Reiner",Universität Augsburg,"Mitglied ;
1996 - 1998 Geschäftsführer
",Mitarbeit in verschiedenen Forschungsprojekten,"1990-2000;
1996 - 1998 Geschäftsführer",Münchner Projektgruppe für Sozialforschung e. V. (MPS e.V.),n,Münchner Projektgruppe für Sozialforschung e.V. -MPS- (München),2510
"Keller, Reiner",Universität Augsburg,Promotionsstipendiat ,n,1993-1996,TU München,n,"Technische Universität München (München)",3197
"Keller, Reiner",Universität Augsburg,Promotion ,n,1997/07,TU München,n,"Technische Universität München (München)",3197
"Keller, Reiner",Universität Augsburg,Wissenschaftlicher Assistent bzw. Oberassistent  ,n,1997/05/01 - 2006/09/30,Universität Augsburg,Lehrstuhl für Soziologie der PhilSo-Fakultät ,"Lehrstuhl für Soziologie
Philosophisch-Sozialwissenschaftliche Fakultät (Augsburg)
Universität Augsburg (Augsburg)",21311
"Keller, Reiner",Universität Augsburg,Mitarbeit im Rahmen der Grundausstattung ,n,1999/07/01 - 2006/09/30,Universität Augsburg,"Projekt A2 'Naturalisierung von Gesellschaft - Vergesellschaftung der Natur';
DFG-Sonderforschungsbereich ""Reflexive Modernisierung""","Universität Augsburg (Augsburg)",3294
"Keller, Reiner",Universität Augsburg,Habilitation ,venia: Soziologie,2004,Universität Augsburg,n,"Universität Augsburg (Augsburg)",3294
"Keller, Reiner",Universität Augsburg,Akkreditierung zur Wahrnehmung von Soziologieprofessuren in Frankreich ,n,2005,Conseil National des Universités,n,n,n
"Keller, Reiner",Universität Augsburg,Vertretung einer Universitätsprofessur ,n,2006/2007 (Wintersemester),"Universität Koblenz-Landau, Campus Landau",Allgemeine Soziologie ,"Universität Koblenz-Landau Campus Landau (Landau)",1046
"Keller, Reiner",Universität Augsburg,Universitätsprofessor ,n,2007/04/01 - 2011/09/30,"Universität Koblenz-Landau, Campus Landau",Allgemeine Soziologie,"Universität Koblenz-Landau Campus Landau (Landau)",1046
"Keller, Reiner",Universität Augsburg,Vertretung ,Lehrstuhl für Soziologie von Prof. Dr. U. Beck ,2008/2009 (Wintersemester),LMU München,Lehrstuhl für Soziologie von Prof. Dr. U. Beck ,"Institut für Soziologie Lehrstuhl Prof. Dr. Beck
Sozialwissenschaftliche Fakultät (München)
Ludwig-Maximilians-Universität München (München)",726087
"Keller, Reiner",Universität Augsburg,Einladung auf eine einjährige Gastdozentur,n,2009/2010,LMU München [keine Freigabe durch die Universität Koblenz-Landau],n,"Ludwig-Maximilians-Universität München (München)
",3339
"Keller, Reiner",Universität Augsburg,Visiting Scholar,n,2010/2011 (Wintersemester),Universität Bielefeld ,n,"Universität Bielefeld (Bielefeld)",3300
"Keller, Reiner",Universität Augsburg,Lehrstuhl für Soziologie ,n,2011/10/01 - ,Universität Augsburg,Lehrstuhl für Soziologie ,"Professur für Soziologie
Philosophisch-Sozialwissenschaftliche Fakultät (Augsburg)
Universität Augsburg (Augsburg)",70237
"Keller, Reiner",Universität Augsburg,Fellow ,n,2014 (Sommersemester),Jakob-Fugger-Zentrum für Transnationale Forschung,n,n,n
"Kirchschlager, Stephan",Hochschule Luzern,Diplom,Soziologie,2004,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Kirchschlager, Stephan",Hochschule Luzern,Wissenschaftlicher Mitarbeiter,Allgemeine Soziologie,2005/02-2006/02,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Kirchschlager, Stephan",Hochschule Luzern,Promotionsstipendiat,,2006/03-2007/02,Evangelisches Studienwerk Villigst,,Evangelisches Studienwerk e.V. Villigst (Schwerte),1043
"Kirchschlager, Stephan",Hochschule Luzern,Assistent,Soziologie,2007/03-2011/12,Universität Luzern,Soziologisches Seminar,Soziologisches Seminar (Luzern),26437
"Kirchschlager, Stephan",Hochschule Luzern,Oberassistent,Sozioloige,2012/01-2014/02,Universität Luzern,Soziologisches Seminar,Soziologisches Seminar (Luzern),26437
"Kirchschlager, Stephan",Hochschule Luzern,Promotion,Soziologie,2012,Universität Luzern,Soziologisches Seminar,Soziologisches Seminar (Luzern),26437
"Kirchschlager, Stephan",Hochschule Luzern,Dozent und Projektleiter,,2014/12-,Hochschule Luzern - soziale Arbeit,,Hochschule Luzern (Luzern),72513
"Kirchschlager, Stephan",Hochschule Luzern,,,2016/09-,Hochschule Luzern - soziale Arbeit,,Hochschule Luzern (Luzern),72513
"Kleemann, Frank",Universität Duisburg-Essen,Studium ,Statistik,1988-1995,Universität München ,n,Ludwig-Maximilians-Universität München (München),3339
"Kleemann, Frank",Universität Duisburg-Essen,Studium ,Soziologie ,1988-1995,Universität München ,n,Ludwig-Maximilians-Universität München (München),3339
"Kleemann, Frank",Universität Duisburg-Essen,Studium ,Dipl. Soz.,1995,Universität München ,n,Ludwig-Maximilians-Universität München (München),3339
"Kleemann, Frank",Universität Duisburg-Essen,Studium ,Soziologie ,1988-1995,University of Pennsylvania ,n,University of Pennsylvania (Philadelphia),727522
"Kleemann, Frank",Universität Duisburg-Essen,Studium ,Master of Arts,1993,University of Pennsylvania ,n,University of Pennsylvania (Philadelphia),727522
"Kleemann, Frank",Universität Duisburg-Essen,Landesgraduiertenstipendiat ,n,1996-1998,Freistaat Sachsen ,n,"Freistaat Sachsen Graduiertenförderung (Leipzig)",726962
"Kleemann, Frank",Universität Duisburg-Essen,Promotionsstipendiat ,n,1996-1998,Hans-Böckler-Stiftung,n,"Hans-Böckler-Stiftung (Düsseldorf)",1468
"Kleemann, Frank",Universität Duisburg-Essen,Zusatzstudium „Qualitative Methoden in den Sozialwissenschaften“,n,1996-1998,Freie Universität Berlin,n,"Freie Universität Berlin (Berlin)",1255
"Kleemann, Frank",Universität Duisburg-Essen,Wissenschaftlicher Mitarbeiter,n,1998-2010,Technischen Universität Chemnitz ,Professur für Industrie- und Techniksoziologie ,"Institut für Soziologie Professur für Industrie- und Techniksoziologie
Fak. für Human- und Sozialwissenschaften (Chemnitz)
Technische Universität Chemnitz (Chemnitz",15216
"Kleemann, Frank",Universität Duisburg-Essen,Promotion ,Dr. phil.,2004,Technischen Universität Chemnitz,n,"Technische Universität Chemnitz (Chemnitz)",12792
"Kleemann, Frank",Universität Duisburg-Essen,Vertretung der Professur ,n,2010/11,Goethe-Universität Frankfurt am Main,Professur für Soziologie mit dem Schwerpunkt Arbeitssoziologie,"Goethe-Universität Frankfurt (Frankfurt am Main)",3313
"Kleemann, Frank",Universität Duisburg-Essen,Wissenschaftlicher Mitarbeiter ,n,2011/12,Technischen Universität Chemnitz,Professur für Industrie- und Techniksoziologie ,"Institut für Soziologie Professur für Industrie- und Techniksoziologie
Fak. für Human- und Sozialwissenschaften (Chemnitz)
Technische Universität Chemnitz (Chemnitz",15216
"Kleemann, Frank",Universität Duisburg-Essen,Vertreter der Professur,n,WS 2012/13-SoSe 2014,Universität Duisburg-Essen ,"Professur für Arbeit, Beruf und Organisation","Institut für Soziologie Lehrstuhl für Arbeit, Beruf und Organisation
Fak. für Gesellschaftswissenschaften (Duisburg)
Universität Duisburg-Essen Campus Duisburg (Duisburg)",19079
"Kleemann, Frank",Universität Duisburg-Essen,Professor ,Soziologie ,SoSe 2014 -,Universität Duisburg-Essen,Soziologie mit dem Schwerpunkt Arbeit und Organisation,"Institut für Soziologie Lehrstuhl für Arbeit, Beruf und Organisation
Fak. für Gesellschaftswissenschaften (Duisburg)
Universität Duisburg-Essen Campus Duisburg (Duisburg)",19079
"Kluge, Susann",Qualitative Research Net: http://www.qualitative-research.net/index.php/fqs/article/view/1124/2497#gaut,Studium,"Soziologie, Psychologie und Rechtswissenschaft",Bremen,Universität Bremen,,Universität Bremen (Bremen),3303
"Kluge, Susann",Qualitative Research Net: http://www.qualitative-research.net/index.php/fqs/article/view/1124/2497#gaut,Studium,"Soziologie, Psychologie und Rechtswissenschaft",Münster,Westfälische Wilhelms-Universität Münster,,Westfälische Wilhelms-Universität Münster (Münster),3340
"Kluge, Susann",Qualitative Research Net: http://www.qualitative-research.net/index.php/fqs/article/view/1124/2497#gaut,Studium,"Soziologie, Psychologie und Rechtswissenschaft",Passau,Universität Passau,,Universität Passau (Passau),3343
"Kluge, Susann",Qualitative Research Net: http://www.qualitative-research.net/index.php/fqs/article/view/1124/2497#gaut,wissenschaftliche Mitarbeiterin,"Sonderforschungsbereich 186 ""Statuspassagen und Risikolagen im Lebensverlauf""",1992-?,Universität Bremen,,Universität Bremen (Bremen),3303
"Knoblauch, Hubert",TU Berlin,Studium ,Soziologie,-1985,n,n,n,n
"Knoblauch, Hubert",TU Berlin,Assistent ,n,1985-1987,Hochschule Sankt Gallen,n,n,n
"Knoblauch, Hubert",TU Berlin,Wissenschaftlicher Angestellter,n,1987-1990,Universität Konstanz,n,"Universität Konstanz (Konstanz)
",3332
"Knoblauch, Hubert",TU Berlin,Forschungsaufenthalt ,n,1987, Sorbonne in Paris (VII),n,"Centre d'histoire sociale du XXe siècle
Université Paris I Panthéon-Sorbonne (Paris)",30629
"Knoblauch, Hubert",TU Berlin,Promotion ,n,1989,Konstanz ,Thomas Luckmann,Universität Konstanz (Konstanz),3332
"Knoblauch, Hubert",TU Berlin,Forschungsaufenthalt ,n,1990-1991 ,University of Berkeley in California ,Anthropologie,"University of California Berkeley (Berkeley)
",3269
"Knoblauch, Hubert",TU Berlin,Wissenschaftlicher Assistent,n,1991-1994,Universität Konstanz,n,Universität Konstanz (Konstanz),3332
"Knoblauch, Hubert",TU Berlin,Lehrauftrag,n,1991-1994,Bern,n,Universität Bern (Bern),3299
"Knoblauch, Hubert",TU Berlin,Lehrauftrag,n,1991-1994,Zürich,n,"Universität Zürich (Zürich)",3354
"Knoblauch, Hubert",TU Berlin,Lehrauftrag,n,1991-1994,Prag,n,"Charles University Prague (Prag)",12386
"Knoblauch, Hubert",TU Berlin,Habilitation ,n,1994,Universität Konstanz,n,Universität Konstanz (Konstanz),3332
"Knoblauch, Hubert",TU Berlin,Heisenberg-Stipendiat,n,1996-2000,Heisenberg-Stipendiat,n,n,n
"Knoblauch, Hubert",TU Berlin,Senior Research Fellow,n,1997-1998," King's College, London",n,"King's College London (London)",12783
"Knoblauch, Hubert",TU Berlin,Gastprofessor ,n,1998, Universität Wien,n,n,n
"Knoblauch, Hubert",TU Berlin,Christa-Hoffmann-Riem-Preis für Qualitative Sozialforschung,n,1997,n,n,n,n
"Knoblauch, Hubert",TU Berlin,Professor ,n,2000 -2002,Universität Zürich,Religionssoziologie und Religionswissenschaft,"Universität Zürich (Zürich)",3354
"Knoblauch, Hubert",TU Berlin,Professor ,Theorien moderner Gesellschaften,2002 -,Technischen Universität Berlin,Allgemeine Soziologie,"Institut für Soziologie Fachgebiet Allgemeine Soziologie, insb. Theorie moderner Gesellschaften
Fak. VI Planen, Bauen, Umwelt (Berlin)
Technische Universität Berlin (Berlin)",23350
"Köttig, Michaela",Frankfurt University of Applied Sciences,Magistrastudium,Hauptfächer Soziologie und Politologie,1992-1995,Gesamthochschule Kassel,,n,n
"Köttig, Michaela",Frankfurt University of Applied Sciences,Diplom,"Sozialarbeiterin/Sozialpädagogin, Fachbereich Sozialwesen",1995,Georg-August-Universität Göttingen,,Georg-August-Universität Göttingen (Göttingen),9292
"Köttig, Michaela",Frankfurt University of Applied Sciences,Wissenschaftliche Mitarbeiterin,,1999-2001,Universität zu Köln,Fakultät für Erziehungswissenschaften,Humanwissenschaftliche Fakultät (Köln),30798
"Köttig, Michaela",Frankfurt University of Applied Sciences,Lehraufträge ,Fachbereich Sozialwesen,2001-2002,Gesamthochschule Kassel,,n,n
"Köttig, Michaela",Frankfurt University of Applied Sciences,Wissenschaftliche Mitarbeiterin,,2002-2009,Georg-August-Universität Göttingen,Sozialwissenschaftliche Fakultät,Sozialwissenschaftliche Fakultät (Göttingen),3964
"Köttig, Michaela",Frankfurt University of Applied Sciences,Promotion ,Dissertationsschrift: Lebensgeschichten rechtsextrem orientierter Mädchen und junger Frauen - Biographische Verläufe im Kontext der Familien- und Gruppendynamik,2003,Georg-August-Universität Göttingen,Sozialwissenschaftliche Fakultät,Sozialwissenschaftliche Fakultät (Göttingen),3964
"Köttig, Michaela",Frankfurt University of Applied Sciences,Leitende Mitarbeiterin,Forschungsprojekt: Biographische Fallstudien von Jugendichen in Berufsvorbereitenden Bildungsmaßnahmen,2004-2005,Georg-August-Universität Göttingen,Sozialwissenschaftliche Fakultät,Sozialwissenschaftliche Fakultät (Göttingen),
"Köttig, Michaela",Frankfurt University of Applied Sciences,Transatlantischer Forschungs- und Lehraustausch,"""Biography and Ethnicity: Development and changes in sense of socio-cultural belonging in migrant populations in the US and Germany""",2006-2007,Alexander-von-Humboldt-Stiftung,,Alexander von Humboldt-Stiftung (Bonn),149
"Köttig, Michaela",Frankfurt University of Applied Sciences,einmonatiger Forschungsaufenthalt in Kuba,,2009,n,,n,n
"Köttig, Michaela",Frankfurt University of Applied Sciences,fortlaufende Forschungswerkstatt,,2010-2011,Universität zu Köln,,Universität zu Köln (Köln),3327
"Köttig, Michaela",Frankfurt University of Applied Sciences,Professur,"Kommunikation, Gesprächsführung und Konfliktbewältigung",2009/10-,Frankfurt University of Applied Sciences,Fachbereich Soziale Arbeit und Gesundheit,FB 04 Soziale Arbeit und Gesundheit (Frankfurt am Main),8833
"Köttig, Michaela",Frankfurt University of Applied Sciences,"Evaluation des Projekts ""Lola für Lulu"" - Frauen für Demokratie im Landkreis Ludwigslust ",,2010-,Dreilindenstiftung,,n,n
"Köttig, Michaela",Frankfurt University of Applied Sciences,Gastprofessur,,2013/04-,Centro de Análises Econômicas e Sociais an der Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS,,n,n
"Köttig, Michaela",Frankfurt University of Applied Sciences,Gastprofessur,,2013/04-,"Faculdade de Filosofia e Ciências Humanas, Programa de Pós-Graduação em Ciências Sociais, in Porto Alegre Brasilien",,n,n
"Krähnke, Uwe","Danke ;) in ""Methoden QS Sprecher"" ",,,,,,,
"Krey, Björn",Universität Mainz,Studium,"Außerschulisches Erziehungs- und Sozialwesen; Diplomarbeit: Identitätskonstruktion im Perspektivenwechsel""",1998/10-2004/01,Universität Siegen,,Universität Siegen (Siegen),3358
"Krey, Björn",Universität Mainz,Studium,Soziologie,2004/04-2009/07,Johannes Gutenberg-Universität Mainz,,Johannes Gutenberg-Universität Mainz (Mainz),3336
"Krey, Björn",Universität Mainz,Dissertationsstudium,"Arbeitstitel: ""Doing Discourse. Textuale Praktiken der Produktion soziologischen Wissens""",2009/10-,Johannes Gutenberg-Universität Mainz,,Johannes Gutenberg-Universität Mainz (Mainz),3336
"Krey, Björn",Universität Mainz,Lehrkraft für besondere Aufgaben,Soziologie,2009/10-2010/02,Johannes Gutenberg-Universität Mainz,Institut für Soziologie,Institut für Soziologie (Mainz),15131
"Krey, Björn",Universität Mainz,Promotionsstipendiat,,2010/03-2012/02,Stipendienstiftung Rheinland-Pfalz,,n,n
"Krey, Björn",Universität Mainz,Wissenschaftlicher Mitarbeiter,,2012/03-,Johannes Gutenberg-Universität Mainz,Institut für Soziologie,Institut für Soziologie (Mainz),15131
"Krey, Björn",Universität Mainz,Promotion,"Titel der Dissertation: ""Textarbeit. Fachliteratur als Objekt wissenschaftlicher Praxis""",2017/08,Johannes Gutenberg-Universität Mainz,Institut für Soziologie,Institut für Soziologie (Mainz),15131
"Krummheuer, Antonia",Universität Aalborg,Diplom in Sociology,Diplom,2003,Bielefeld University,n,"Universität Bielefeld (Bielefeld)",3300
"Krummheuer, Antonia",Universität Aalborg,Doctoral thesis,n,2008,Klagenfurt University (Austria),n,"Universität Klagenfurt (Klagenfurt)",3317
"Krummheuer, Antonia",Universität Aalborg,Scientific Assistantat,n,2005/03/01 - 2009/02/28,Klagenfurt University (Austria),Department Culture and Communication,Universität Klagenfurt (Klagenfurt),3317
"Krummheuer, Antonia",Universität Aalborg,Assistant Professor,n,2009/03/01 - 2013/02/28,Klagenfurt University (Austria),Department Culture and Communication,"Universität Klagenfurt (Klagenfurt)",3317
"Krummheuer, Antonia",Universität Aalborg,Assistant Professor,n,2013/03/01,Aalborg University,Department of Communication and Psychology,"Aalborg University (Aalborg)",14064
"Kuckartz, Udo",Universität Marburg,Studium,"Soziologie, Politikwissenschaft und Informatik",?,Rheinisch-Westfälische Technische Hochschule Aachen ,,Rheinisch-Westfälische Technische Hochschule Aachen,3189
"Kuckartz, Udo",wikipedia,Promotion,"Dissertation ""Computer und verbale Daten""",?,Technische Universität Berlin,,Technische Universität Berlin (Berlin),3192
"Kuckartz, Udo",Universität Marburg,Wissenschaftlicher Mitarbeiter,Sozialpädagogik und Erwachsenenbildung,1979-1985,Freie Universität Berlin,Insitut für Sozialpädagogik und Erwachsenenbildung,Wissenschaftsbereich Erziehungswissenschaft Arbeitsbereich Sozialpädagogik (Berlin),17745
"Kuckartz, Udo",Universität Marburg,Wissenschaftlicher Angestellter,Service Einrichtung Information und Datenverarbeitung,1986-1994,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Kuckartz, Udo",wikipedia,Dozent,Methoden empirischer Sozialforschung,1992-1993,Technische Universität Dresden,Institut für Soziologie,Institut für Soziologie (Dresden),12330
"Kuckartz, Udo",Universität Marburg,Habilitation,Empirische Erziehungswissenschaft,1993,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Kuckartz, Udo",Universität Marburg,Professor,Methoden und Evaluation,1994-1995,Humboldt-Universität,,Humboldt-Universität (Berlin),12708
"Kuckartz, Udo",Universität Marburg,Privatdozent und Wissenschaftlicher Angestellter,"Erziehungswissenschaft, Psychologie und Sportwissenschaft",1995-1999,Freie Universität Berlin,"Fachbereich Erziehungswissenschaften, Psychologie und Sportwissenschaften",FB Erziehungswissenschaft und Psychologie (Berlin),17725
"Kuckartz, Udo",Universität Marburg,Professor,"Empirische Erziehungswissenschaft mit Arbeitsschwerpunkt: Computergestützte Analyse qualitativer Daten, Sozialwissenschaftliche Umweltforschung, Bildungsforschung",1999-em.,Philipps-Universität Marburg,,Philipps-Universität Marburg (Marburg),3338
"Küster, Ernst-Uwe",DJI,Diplom-Sozialpädagoge/Sozialarbeiter,Abschluss ,1996,Fachhochschule Hildesheim,n,n,n
"Küster, Ernst-Uwe",DJI,Diplom-Pädagoge,Abschluss ,2000,Universität Hildesheim,n,"Stiftung Universität Hildesheim (Hildesheim)",1534
"Küster, Ernst-Uwe",DJI,Wissenschaftlicher Mitarbeiter,n,2000-2005	,Universität Kassel,"Fachgebiet Jugend- und Erwachsenenbildung;
Fachbereich Sozialwesen ",Universität Kassel (Kassel),1308
"Küster, Ernst-Uwe",DJI,Verantwortlicher Redakteur,n,2005-2006	,"Zeitschrift ""Sozialextra. Zeitschrift für Soziale Arbeit und Sozialpolitik"", VS Verlag für Sozialwissenschaften, Wiesbaden",n,n,n
"Küster, Ernst-Uwe",DJI,Wissenschaftlicher Mitarbeiter ,n,2005-2010	,"SOS-Kinderdorf e.V., München",Sozialpädagogische Institut (SPI),"SOS-Kinderdorf e.V. (München)",727436
"Küster, Ernst-Uwe",DJI,Wissenschaftlicher Referent,n,2011 -,"Deutsches Jugendinstitut e.V., München",Nationales Zentrum Frühe Hilfen ,"Deutsches Jugendinstitut e.V. (München)",885
"Kutzner, Stefan",Universität Siegen,Studium,Soziologie mit Nebenfächern Politikwissenschaft und Philosophie,1982-1989,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Kutzner, Stefan",Universität Siegen,"Studentischer, später akademischer Tutor",Gesellschaftswissenschaften,1987-1990,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften (Frankfurt am Main),8797
"Kutzner, Stefan",Universität Siegen,"Diplom-, später Doktorassistent",Sozialarbeit und Sozialpolitik,1991-2001,Universität Fribourg,Departement Sozialarbeit und Sozialpolitik,"Département Soziologie, Sozialpolitik und Sozialarbeit (Fribourg)",22058
"Kutzner, Stefan",Universität Siegen,Promotion,"Titel der Arbeit: ""Die Autonomisierung des Politischen im Verlgauf der Französischen Revolution: Fallanalysen zur Konstituierung des Volkssouveräns""",1996,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Kutzner, Stefan",Universität Siegen,"Oberassistent, später Lektor",Sozialarbeit und Sozialpolitik,2001-2007,Universität Fribourg,Departement Sozialarbeit und Sozialpolitik,"Département Soziologie, Sozialpolitik und Sozialarbeit (Fribourg)",22058
"Kutzner, Stefan",Universität Siegen,Habilitation ,"Titel der Arbeit: ""Legitimation der Sozialstaatlichkeit: Theoretisches Modell und Fallanalysen zur Durchsetzung der staatlichen Alterssicherung in Deutschland, Frankreich und der Schweiz""",2004,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Kutzner, Stefan",Universität Siegen,Lehrstuhlvertretung,Soziologie,2006-2007,Universität Siegen,,Universität Siegen (Siegen),3358
"Kutzner, Stefan",Universität Siegen,Professor,Soziologie,2007-,Universität Siegen,,Universität Siegen (Siegen),3358
"Kutzner, Stefan",Universität Siegen,Lehrauftrag,"Themen: Sozialpolitik, Soziologie, Qualitative Forschungsmethoden",n,Universität Zürich,,Universität Zürich (Zürich),3354
"Kutzner, Stefan",Universität Siegen,Lehrauftrag,"Themen: Sozialpolitik, Soziologie, Qualitative Forschungsmethoden",n,Universität Bern,,Universität Bern (Bern),3299
"Kutzner, Stefan",Universität Siegen,Lehrauftrag,"Themen: Sozialpolitik, Soziologie, Qualitative Forschungsmethoden",n,Fachhochschule Sankt Gallen,,n,n
"Kutzner, Stefan",Universität Siegen,Lehrauftrag,"Themen: Sozialpolitik, Soziologie, Qualitative Forschungsmethoden",n,Fachhochschule Bern,,Berner Fachhochschule (Bern),24284
"Kutzner, Stefan",Universität Siegen,Lehrauftrag,"Themen: Sozialpolitik, Soziologie, Qualitative Forschungsmethoden",n,Fachhochschule Brugg,,Fachhochschule Nordwestschweiz -FHNW- (Brugg),71201
"Kutzner, Stefan",Universität Siegen,Lehrauftrag,"Themen: Sozialpolitik, Soziologie, Qualitative Forschungsmethoden",n,Fachhochschule Solothurn,,Hochschule für Soziales Solothurn (Solothurn),23278
"Laube, Stefan",Uni Frankfurt,MA,Sociology,3/2005,University of Graz,n,"Sozial- und Wirtschaftswissenschaftliche Fakultät
Universität Graz (Graz)
Karl-Franzens-Universität Graz (Graz)",8486
"Laube, Stefan",Uni Frankfurt,Postgraduate Diploma,Sociology of Social Practices,12/2012,"Institute for Advanced Studies, Vienna",n,"Institut für Höhere Studien Abt. Soziologie (Wien)
",1726
"Laube, Stefan",Uni Frankfurt,	PhD,Sociology,12/2013,University of Konstanz,n,"Universität Konstanz (Konstanz)",3332
"Laube, Stefan",Uni Frankfurt,Researcher,n,2005-2006	,University of Graz,Department of Sociology,"Sozial- und Wirtschaftswissenschaftliche Fakultät
Universität Graz (Graz)
Karl-Franzens-Universität Graz (Graz)",8486
"Laube, Stefan",Uni Frankfurt,Research Fellow,n,2007-2010	,University of Konstanz,Cluster of Excellence: Cultural Foundations of Integration,"Exzellenzcluster ""Kulturelle Grundlagen von Integration""
Universität Konstanz (Konstanz)",31619
"Laube, Stefan",Uni Frankfurt,Scholar,n,2010-2012	," Institute for Advanced Studies, Vienna", Sociology Department,Institut für Höhere Studien Abt. Soziologie (Wien),1726
"Laube, Stefan",Uni Frankfurt,Junior Fellow,n,2012-2013	,"International Center for Cultural Studies, Vienna (IFK Wien)",n,n,n
"Laube, Stefan",Uni Frankfurt,Post Doc Researcher,n,2013-                 	,Goethe-University Frankfurt,"Lehrstuhl für Interpretative Sozialforschung, Institut für Soziologie","Goethe-Universität Frankfurt (Frankfurt am Main)",3313
"Lauer, Nadine / Günnewig, Nadine",Universität Duisburg Essen,Wissenschaftliche Mitarbeiterin,Soziale Arbeit und Sozialpolitik,?,Universität Duisburg-Essen,Insitut für Soziale Arbeit und Sozialpolitik,Institut für Soziale Arbeit und Sozialpolitik (Essen),72992
"Liegl, Michael",http://www.theorie.soziologie.uni-mainz.de/dr-michael-liegl/,Studium ,"Philosophie, Soziologie und Germanistik",1994-2001,Philipps Universität Marburg,n,"Philipps-Universität Marburg (Marburg)",3338
"Liegl, Michael",http://www.theorie.soziologie.uni-mainz.de/dr-michael-liegl/,Studium /DAAD Stipendium,Philosophie und Soziologie,1997/1998,City University New York (CUNY),Graduate Center,n,n
"Liegl, Michael",http://www.theorie.soziologie.uni-mainz.de/dr-michael-liegl/,M.A,Philosophie und Soziologie,2001/03,Philipps-Universität Marburg,n,Philipps-Universität Marburg (Marburg),3338
"Liegl, Michael",http://www.theorie.soziologie.uni-mainz.de/dr-michael-liegl/,Wissenschaftliche Hilfskraft,n,2001/11 - 2002/10,Philipps-Universität Marburg,Zentrum für Gender Studies,"Zentrum für Gender Studies und feministische Zukunftsforschung
Philipps-Universität Marburg (Marburg)",24809
"Liegl, Michael",http://www.theorie.soziologie.uni-mainz.de/dr-michael-liegl/,Wissenschaftlicher Mitarbeiter,n,2002/11 - 2007/03,LMU München, Institut für Soziologie,"Institut für Soziologie
Sozialwissenschaftliche Fakultät (München)
Ludwig-Maximilians-Universität München (München)",8978
"Liegl, Michael",http://www.theorie.soziologie.uni-mainz.de/dr-michael-liegl/,Researcher ,"Teilnehmende Beobachtung, Interviews und Auswertung im Rahmen der Evaluation",2004/3 - 2005/03,Pinakothek der Moderne in München,Kunstvermittlungsprojekt PINK,n,n
