,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Butterwegge, Christoph",Eigene Website: http://www.christophbutterwegge.de/index.php,C-4-Professur,Politikwissenschaft ,1998/01-2016 (em.),Universität Köln,,Universität zu Köln (Köln),3327
"Butterwegge, Christoph",Eigene Website: http://www.christophbutterwegge.de/index.php,Geschäftsführender Direktor ,am Institut für Vergleichende Bildungsforschung und Sozialwissenschaften,2011/04-2016,Universität Köln,Vergleichende Politikwissenschaft,Forschungsinstitut für Politische Wissenschaft und Europäische Fragen Lehrstuhl für Vergleichende Politikwissenschaft (Köln),24643
"Häußermann, Hartmut",HU Berlin,Studium ,"Soziologie, Politik und Volkswirtschaft",1964-1970,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Häußermann, Hartmut",Der Spiegel Nachruf,Promotion,Promotion beim Schweizer Soziologen Urs Jaeggi,1968,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Häußermann, Hartmut",HU Berlin,Wissenschaftlicher Mitarbeiter,am Institut für Soziologie,1970-1976,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Häußermann, Hartmut",HU Berlin,Professor,Stadt- und Verwaltungssoziologie,1976-1978,Universität Kassel,,"FB 06 Architektur, Stadtplanung, Landschaftsplanung (Kassel)",9213
"Häußermann, Hartmut",HU Berlin,Professor,Stadt- und Regionalsoziologie,1978-1993,Universität Bremen,,Universität Bremen (Bremen),3303
"Häußermann, Hartmut",HU Berlin,Leiter,"Leiter der Zentralen Wissenschaftlichen Einrichtung ""Arbeit und Religion"" im Kooperationsbereich der Universität - Arbeitskammer",1990-1993,Universität Bremen,,Universität Bremen (Bremen),3303
"Häußermann, Hartmut",HU Berlin,Professor,Stadt- und Religionssoziologie ,1993-2008 (em.),Humboldt-Universität zu Berlin,,Humboldt-Universität Berlin (Berlin),12708
"Häußermann, Hartmut",Wikipedia,Präsident,Präsident des Research Committee on Regional and Urban Development der International Sociological Association,2002-2006,n,,n,n
"Neidhardt, Friedhelm",WZB,Studium ,Soziologie und Wirtschaftswissenschaften,1954-1957,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Neidhardt, Friedhelm",WZB,Studium ,Soziologie und Wirtschaftswissenschaften,1954-1957,Universität Kiel ,,Christian-Albrechts-Universität zu Kiel (Kiel),3330
"Neidhardt, Friedhelm",WZB,Studium ,Soziologie und Wirtschaftswissenschaften,1954-1957,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Neidhardt, Friedhelm",WZB,Studium ,Soziologie und Wirtschaftswissenschaften,1954-1957,"Universität Bloomington, USA",,n,n
"Neidhardt, Friedhelm",WZB,Studium ,Soziologie und Wirtschaftswissenschaften,1954-1957,Universiät Buenos Aires,,Universidad de Ciencias Empresariales y Sociales (Buenos Aires),728258
"Neidhardt, Friedhelm",WZB,Diplom,Volkswirtschaftslehre,1958,Universität Kiel ,,Christian-Albrechts-Universität zu Kiel (Kiel),3330
"Neidhardt, Friedhelm",WZB,Fulbright-Stipendiat,,1958/59,"Universität Bloomington, USA",,n,n
"Neidhardt, Friedhelm",WZB,Wissenschaftlicher Assistent,,1961-1963,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Neidhardt, Friedhelm",WZB,Promotion,,1962,Universität Kiel ,,Christian-Albrechts-Universität zu Kiel (Kiel),3330
"Neidhardt, Friedhelm",WZB,Wissenschaftlicher Assistent,,1963-1968,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Neidhardt, Friedhelm",WZB,Habilitationsstipendium,,1966/1967,Universiät Buenos Aires,,Universidad de Ciencias Empresariales y Sociales (Buenos Aires),728258
"Neidhardt, Friedhelm",WZB,Habilitationsstipendium,,1966/1967,Universität Santiago de Chile,,Pontificia Universidad Catolica de Chile Santiago de Chile (Santiago de Chile),11828
"Neidhardt, Friedhelm",WZB,Habilitationsstipendium,,1966/1967,Universität Lima,,n,n
"Neidhardt, Friedhelm",WZB,Habilitation,Soziologie,1968,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Neidhardt, Friedhelm",WZB,Professor  ,Soziologie,1968-1971,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Neidhardt, Friedhelm",WZB,Rektor,Rektor der Akademie für Wirtschaft und Politik Hamburg,1969-1971,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Neidhardt, Friedhelm",WZB,Professor  ,Soziologie,1971-1975,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Neidhardt, Friedhelm",WZB,Dekan ,Dekan des Fachbereichs Sozial- und Verhaltenswissenschaften,1974/1975,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Neidhardt, Friedhelm",WZB,Professor  ,Soziologie,1976-1988,Universität Köln,,Universität zu Köln (Köln),3327
"Neidhardt, Friedhelm",WZB,Vorsitzender des Kuratoriums,,1978-1993,GESIS Köln,,GESIS - Leibniz-Institut für Sozialwissenschaften (Köln),69256
"Neidhardt, Friedhelm",WZB,Sonderprofessur,Soziologie,1988-1999 (em.),Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Neidhardt, Friedhelm",WZB,Direktor     ,"Direktor der Abteilung ""Öffentlichkeit und soziale Bewegungen"" am WZB",1988-2000,Wissenschaftszentrum Berlin für Sozialforschung,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Neidhardt, Friedhelm",WZB,Präsident,Präsident des WIssenschaftszenttrums Berlin für Sozialforschung,1994-2000,Wissenschaftszentrum Berlin für Sozialforschung,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Badura, Bernhard",Wikipedia,Studium ,"Soziologie, Philosophie und Politikwissenschaften",1966-1971,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Badura, Bernhard",Wikipedia,Studium ,"Soziologie, Philosophie und Politikwissenschaften",1966-1971,Universität Freiburg,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Badura, Bernhard",Wikipedia,Studium ,"Soziologie, Philosophie und Politikwissenschaften",1966-1971,Universität Konstanz,,Universität Konstanz (Konstanz),3332
"Badura, Bernhard",Wikipedia,Studium ,"Soziologie, Philosophie und Politikwissenschaften",1966-1971,Harvard University,,Harvard University Cambridge (Cambridge),1473
"Badura, Bernhard",Wikipedia,Promotion,Promotion und Habilitation bei Ralf Dahrendorf,1971 (?),Universität Konstanz,,Universität Konstanz (Konstanz),3332
"Badura, Bernhard",Wikipedia,Habilitation,Promotion und Habilitation bei Ralf Dahrendorf,1971 (?),Universität Konstanz,,Universität Konstanz (Konstanz),3332
"Badura, Bernhard",Wikipedia,Professor,Sozialpolitik,1971-1975,Universität Konstanz,,Universität Konstanz (Konstanz),3332
"Badura, Bernhard",Wikipedia,Professor ,Soziologie und Sozialpolitik,1981-1986,Universität Oldenburg,,Carl von Ossietzky Universität Oldenburg (Oldenburg),3341
"Badura, Bernhard",Uni Bielefeld,Lehrtätigkeit,,?,Universität Graz,,Technische Universität Graz (Graz),3194
"Badura, Bernhard",Uni Bielefeld,Lehrtätigkeit,,?,Universität Zürich,,Universität Zürich (Zürich),3354
"Badura, Bernhard",Wikipedia,Professor und Leiter des Instituts,Soziologie,1991-?,Technische Universität Berlin,,Technische Universität Berlin (Berlin),3192
"Badura, Bernhard",Wikipedia,Professor,Sozialepideminologie und Gesundheitssystemgestaltung - Arbeitsschwerpunkt: Betriebliche Gesundheitspolitik,?-2008 (em.),Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Badura, Bernhard",Wikipedia,Wissenschaftlicher Leiter,"Wissenschaftlicher Leiter des Studienganges ""Betriebliches Gesundheitsmanagement""",2003-2008,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Gerhards, Jürgen",FU Berlin,Studium ,"Sozialwissenschaften (Soziologie, Politikwissenschaft, Volkswirtschaft) und Germanistik",1976-1982,Universität Köln,,Universität zu Köln (Köln),3327
"Gerhards, Jürgen",FU Berlin,Wissenschaftlicher Mitarbeiter/Assistent am Forschungsinstitut für Soziologie ,,1982-1988,Universität Köln,,Universität zu Köln (Köln),3327
"Gerhards, Jürgen",FU Berlin,Promotionsstudium in den USA,,1984,St. John's University,,n,n
"Gerhards, Jürgen",FU Berlin,Promotionsstudium in den USA,,1984,University of California,,University of California Los Angeles (Los Angeles),3285
"Gerhards, Jürgen",FU Berlin,"Promotion, Dissertation Thesis: Sociology of Emotions",,1986,Universität Köln,,Universität zu Köln (Köln),3327
"Gerhards, Jürgen",FU Berlin,Wissenschaftlicher Mitarbeiter,,1988-1994,Wissenschaftszentrum für Sozialwissenschafte Berlin ,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Gerhards, Jürgen",FU Berlin,Professor ,Soziologie (Lehrstuhl Kultursoziologie und Allgmeine Soziologie),1994-2004,Universität Leipzig,,Universität Leipzig (Leipzig),12411
"Gerhards, Jürgen",FU Berlin,Research Fellowship,,1997,Boston College,,n,n
"Gerhards, Jürgen",FU Berlin,Fellow,,2001/2002,Wissenschaftskolleg,,n,n
"Gerhards, Jürgen",FU Berlin,Fellow,,2003/2004,Swedish Collegium for Advanced Study in the Social Sciences in Uppsala,,n,n
"Gerhards, Jürgen",FU Berlin,Visiting Scholar,,2009/07-2010/02,Harvard University,,Harvard University Cambridge (Cambridge),1473
"Gerhards, Jürgen",FU Berlin,Professor,Soziologie,2004- ,Freie Universität Berlin,,Freie Universität Berlin (Berlin),1255
"Gerhards, Jürgen",FU Berlin,Ernennung zum Forschungsprofessor,,2006,Deutsches Institut für Wirtschaftsforschung,,Deutsches Institut für Wirtschaftsforschung -DIW Berlin- (Berlin),879
"Gerhards, Jürgen",FU Berlin,Fellow,,2011-,Wissenschaftszentrum für Sozialwissenschafte Berlin ,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Gerhards, Jürgen",FU Berlin,Fellow und Karl W. Deutsch-Gastprofessur,,2012/04-2012/10,Wissenschaftszentrum für Sozialwissenschafte Berlin ,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Schmidt, Peter",Uni Gießen,Studium ,"Diplom: Soziologie, Politikwissenschaft, Statistik, Wissenschaftslehre",1969,Universität Köln,,Universität zu Köln (Köln),3327
"Schmidt, Peter",Uni Gießen,Studium ,"Diplom: Soziologie, Politikwissenschaft, Statistik, Wissenschaftslehre",1969,Universität Mannheim ,,Universität Mannheim (Mannheim),3337
"Schmidt, Peter",Uni Gießen,Forschungsassistent,,1969-1971,Universität Mannheim ,,Universität Mannheim (Mannheim),3337
"Schmidt, Peter",Uni Gießen,Wissenschaftlicher Assistent,,1972-1979,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Schmidt, Peter",Uni Gießen,Promotion,,1977,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Schmidt, Peter",Uni Gießen,Projektleiter,,1979-1981,"Zetrum für Umfragen, Methoden und Analysen",,"Zentrum für Umfragen, Methoden und Analysen (Mannheim)",3593
"Schmidt, Peter",Uni Gießen,Professor,Empirische Sozialforschung,1981-,Universität Gießen,Professur für Sozialforschung,Institut für Soziologie Professur für Empirische Sozialforschung (Gießen),726016
"Schmidt, Peter",Uni Gießen,Wissenschaftlicher Leiter,Wissenschaftlicher Leiter der Dauerbeobachtung,1994/12-2000/03,"Zetrum für Umfragen, Methoden und Analysen",,"Zentrum für Umfragen, Methoden und Analysen (Mannheim)",3593
"Schmidt, Peter",Uni Gießen,Codirector,International Scientific Educational Labaratory of Socio-cultural research,2011/02-,National Research University Higher School of Economics in Moskau,,National Research University Higher School of Economics (Moskau),727344
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Studium ,Rechtswissenschaft und Politikwissenschaft,1954-1959,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Studium ,Rechtswissenschaft und Politikwissenschaft,1954-1959,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Fulbright Stipendium ,Politikwissenschaft,1955-1956,Yale University ,,Yale University (New Haven),3552
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Erstes Juristisches Staatsexamen,in Recht und Politische Wissenschaft,1959,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Studienaufenthalt,Master in Law,1960-1961,Yale University ,,Yale University (New Haven),3552
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Zweites juristisches Staatsexamen und Promotion ,Dr. iur.,1964,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Assistant Professor,Law,1964-1966,Yale University ,,Yale University (New Haven),3552
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Visiting Assistant Professor ,Law,1965,University of Chicago,,University of Chicago (Chicago),3270
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Habilitationsstipendium der deutschen Forschungsgemeinschaft,,1966-1968,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Ordinarius,Politikwissenschaft,1986,Universität Konstanz,,Universität Konstanz (Konstanz),3332
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Direktor,Direktor am Internationalen Institut für Management und Verwaltung,1973-1984,Wissenschaftszentrum für Sozialwissenschafte Berlin ,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Forschungsprofessur,Forschungsprofessur am Internationalen Institut für management und Verwaltung,1984-1986,Wissenschaftszentrum für Sozialwissenschafte Berlin ,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Direktor,Direktor am Max-Planck-Institut für Gesellschaftsforschung,1986-2003(em.),Max-Planck-Institut für Gesellschaftsforschug,,Max-Planck-Institut für Gesellschaftsforschung (Köln),2461
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Fellow,Fellow am Center for Advanced Study in the Behavioral Science,1987,Stanford University,,Stanford University (Stanford),10388
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Jean Monnet Professor ,,1995,Europäisches Hochschulinstitut Florenz,Robert-Schuman Center,n,n
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Forschungsaufenthalt,,1999,Europäisches Hochschulinstitut Florenz,Robert-Schuman Center,n,n
"Scharpf, Fritz",Max-Planck-Institut für Gesellschaftsforschung,Forschungsaufenthalt,,2001,Institut d'Études Politiques,,n,n
"Hahn, Alois",Universität Trier,Studium ,"Soziologie, Philosophie, Politologie und Nationalökonomie",1961-1963,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Hahn, Alois",Universität Trier,Aufnahme Studienstiftung des deutschen Volkes,,1961,Studienstiftung des deutschen Volkes,,Studienstiftung des deutschen Volkes e.V. (Bonn),3160
"Hahn, Alois",Universität Trier,Studium ,"Soziologie, Philosophie, Völkerkunde und Nationalökonomie",1963-1967,Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Hahn, Alois",Universität Trier,Promotion,Dr. phil; Titel der Dissertation: Einstellungen zum Tod und ihre soziale Bedingtheit. Eine soziologische Untersuchung.,1967,Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Hahn, Alois",Universität Trier,Wissenschaftlicher Assistent,am soziologischen Seminar,1967-1971,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Hahn, Alois",Universität Trier,Lehrauftrag,Empirische Sozialforschung,1970/1971,Hochschule für Verwaltungswissenschaften ,,Deutsche Universität für Verwaltungswissenschaften Speyer (Speyer),1543
"Hahn, Alois",Universität Trier,Dozent,Soziologie und Politik,1971-1973,Hochschule Esslingen,,Hochschule Esslingen (Esslingen),1066
"Hahn, Alois",Universität Trier,Lehrauftrag,Soziologie,1971-1974,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Hahn, Alois",Universität Trier,Habilitation und Erteilung einer Lehrbefugnis,"Soziologie; Titel der Habilitationsschrift: ""Systeme des Bedeutungswissens. Prolegomena zu einer Soziologie der Geisteswissenschaften""",1973/02,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Hahn, Alois",Universität Trier,Ernennung zum Professor,,1973/04,Hochschule Esslingen,,Hochschule Esslingen (Esslingen),1066
"Hahn, Alois",Universität Trier,Professor,,1974-2009(em.),Universität Trier,,Universität Trier,8741
"Hahn, Alois",Universität Trier,Dekan,"des Fachbereichs IV BWL, Soziologie, Volkswirtschaftslehre, Angew. Mathematik/Statistik und Ethnologie",1981-1983,Universität Trier,,Universität Trier,8741
"Hahn, Alois",Universität Trier,Forschungsaufenthalt,,1983/10-1984/04,Maison des Sciences de l'Homme,,n,n
"Hahn, Alois",Universität Trier,Forschungsaufenthalt,,1983/10-1984/04,École Pratique des Hautes Études ,,École Pratique des Hautes Études (Paris),14846
"Hahn, Alois",Universität Trier,Lehr- und Forschungsaufenthalt,,1986/03,École des Hautes Études en Sciences Sociales,,École des Hautes Études en Sciences Sociales (Paris),11112
"Hahn, Alois",Universität Trier,Directuer d'Etudes Associé ,,1987/01,École Pratique des Hautes Études ,,École Pratique des Hautes Études (Paris),14846
"Hahn, Alois",Universität Trier,Directuer d'Etudes Associé ,,1987/09-1988/06,École des Hautes Études en Sciences Sociales,,École des Hautes Études en Sciences Sociales (Paris),11112
"Hahn, Alois",Universität Trier,Professeur invité,,1990/04,École des Hautes Études en Sciences Sociales,,École des Hautes Études en Sciences Sociales (Paris),11112
"Hahn, Alois",Universität Trier,Aufenthalt,,1991/04,Stanford University,,Stanford University (Stanford),10388
"Hahn, Alois",Universität Trier,Gastprofessor,,1993/09,Clark-University,,n,n
"Hahn, Alois",Universität Trier,Gastprofessor,,1994,Universität Paris I (Panthéon-Sorbonne),,n (gelöscht),n (gelöscht)
"Hahn, Alois",Universität Trier,Professeur associé,am Centre des Movements Sociaux (CEMS),1995/06,École des Hautes Études en Sciences Sociales,,École des Hautes Études en Sciences Sociales (Paris),11112
"Hahn, Alois",Universität Trier,Forschungsaufenthalt,,1995/09,Clark-University,,n,n
"Hahn, Alois",Universität Trier,Ombudsmann,zur Sicherung guter wissenschaftlicher Praxis,2000-2004,Universität Trier,,Universität Trier,8741
"Hahn, Alois",Universität Trier,Abteilungssprecher,für das Fach Soziologie,2001-2003,Universität Trier,,Universität Trier,8741
"Hahn, Alois",Universität Trier,Otto von Freising-Gastprofessur,,SS 2002,Katholische Universität Eichstätt-Ingolstadt,,Katholische Universität Eichstätt-Ingolstadt (Eichstätt),26887
"Hahn, Alois",Universität Trier,Leitung einer Arbeitsgruppe,Leitung einer Arbeitsgruppe der Sommerakademie I der Studienstiftung des deutschen Vokes,2002/08-2002/09,Studienstiftung des deutschen Volkes,,Studienstiftung des deutschen Volkes e.V. (Bonn),3160
"Hahn, Alois",Universität Trier,Fellow,,2003/10,Zentrum für Literaturforschung,,n,n
"Hahn, Alois",Universität Trier,Fellow,,2004/10-2005/07,Wissenschaftskolleg zu Berlin,,n,n
"Hahn, Alois",Universität Trier,Gastprofessor,,2009-2010,Universität Luzern,,Universität Luzern (Luzern),19647
"Scheuch, Erwin K.",wikipedia,Studium ,Volkswirtschaftslehre mit sozialwissenschaftlicher Richtung,?,Universität Köln,,Universität zu Köln (Köln),3327
"Scheuch, Erwin K.",wikipedia,Stipendium - Fulbright - Programm,Bachelor of Arts,1951,University of Connecticut,,n,n
"Scheuch, Erwin K.",wikipedia,Graduate Assistant,,?,Clark University,,n,n
"Scheuch, Erwin K.",wikipedia,Studium ,Diplom,1953,Universität Köln,,Universität zu Köln (Köln),3327
"Scheuch, Erwin K.",wikipedia,Assistent  ,Seminar für Soziologie,1953-1959,Universität Köln,,Universität zu Köln (Köln),3327
"Scheuch, Erwin K.",wikipedia,Promotion,Empirische Sozialforschung,1956,Universität Köln,,Universität zu Köln (Köln),3327
"Scheuch, Erwin K.",wikipedia,Rockefeller-Foundation-Post-Doc-Aufenthalt,,1959,mehrere amerikanische Universitäten,,n,n
"Scheuch, Erwin K.",wikipedia,Habilitation,Thema: Skalierungsverfahren als Instrumente der Sozialforschung,1961,?,,,
"Scheuch, Erwin K.",wikipedia,Dozent,Sozialpsychologie,1962-1964,Harvard University,,Harvard University Cambridge (Cambridge),1473
"Scheuch, Erwin K.",wikipedia,Professor,Soziologie,1965-1993(em.),Universität Köln,,Universität zu Köln (Köln),3327
"Liebau, Eckart",Uni Erlangen,Studium ,"Soziologie, Pädagogik, Politik",1967-1973,Universität Göttingen ,,Georg-August-Universität Göttingen (Göttingen),9292
"Liebau, Eckart",Uni Erlangen,Studium ,"Soziologie, Pädagogik, Politik",1967-1973,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Liebau, Eckart",Uni Erlangen,Wissenschaftliche Mitarbeit,Bildungssoziologische und (schul-)pädagogische Projekte,1972-1988,Universität Göttingen ,,Georg-August-Universität Göttingen (Göttingen),9292
"Liebau, Eckart",Uni Erlangen,Wissenschaftliche Mitarbeit,Bildungssoziologische und (schul-)pädagogische Projekte,1972-1988,Universität Kassel ,,Universität Kassel (Kassel),1308
"Liebau, Eckart",Uni Erlangen,Wissenschaftliche Mitarbeit,Bildungssoziologische und (schul-)pädagogische Projekte,1972-1988,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Liebau, Eckart",Uni Erlangen,Wissenschaftliche Mitarbeit,Bildungssoziologische und (schul-)pädagogische Projekte,1972-1988,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Liebau, Eckart",Uni Erlangen,Promotion,Dr. phil. ,1979,Universität Göttingen ,,Georg-August-Universität Göttingen (Göttingen),9292
"Liebau, Eckart",Uni Erlangen,Habilitation,Erziehungswissenschaften,1987,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Liebau, Eckart",Uni Erlangen,Heisenberg-Stipendiat der Deutschen Forschungsgmeinschaft,,1988-1992,Universität Tübingen,,Eberhard Karls Universität Tübingen (Tübingen),3349
"Liebau, Eckart",Uni Erlangen,Inhaber des Lehrstuhls ,Pädagogik II,1992-2014,Universität Erlangen,Institut für Pädagogik Lehrstuhl II,Institut für Pädagogik Lehrstuhl Pädagogik II (Erlangen),9064
"Liebau, Eckart",Uni Erlangen,Vorstand,am Institut für Pädagogik,1992-2014,Universität Erlangen,Institut für Pädagogik Lehrstuhl II,Institut für Pädagogik Lehrstuhl Pädagogik II (Erlangen),9064
"Liebau, Eckart",Uni Erlangen,Dekan,der Philosophischen Fakultät,2001-2003,Universität Erlangen,,Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen),3309
"Liebau, Eckart",Uni Erlangen,Sprecher,Interdisziplinäres Zentrum für Ästhetische Bildung,2005-2014,Universität Erlangen,,Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen),3309
"Liebau, Eckart",Uni Erlangen,Leiter ,Akademie für Schultheater und Theaterpädagogik,2009-,Universität Erlangen,,Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen),3309
"Liebau, Eckart",Uni Erlangen,Inhaber des Lehrstuhls,UNESCO-Lehrstuhl für kulturelle Bildung,2010-,Universität Erlangen,Institut für Pädagogik Lehrstuhl II,Institut für Pädagogik UNESCO-Lehrstuhl für Kulturelle Bildung (Erlangen),726664
"Liebau, Eckart",Uni Erlangen,Vorsitzender  ,des Rates für Kulturelle Bildung,2013-,Universität Erlangen,,Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen),3309
"Klieme, Eckhard",Uni Frankfurt,Studium ,"Mathematik, Kommunikationsforschung, Psychologie, Pädagogik",1971-1981,Universität  Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Klieme, Eckhard",Uni Frankfurt,Diplom,Mathematik,1978,Universität  Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Klieme, Eckhard",Uni Frankfurt,Diplom,Psychologie,1981,Universität  Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Klieme, Eckhard",Uni Frankfurt,Wissenschaftlicher Mitarbeiter,Test- und Begabungsforschung,1983-1997,Studienstiftung des deutschen Volkes,,Studienstiftung des deutschen Volkes e.V. (Bonn),3160
"Klieme, Eckhard",Uni Frankfurt,Lehrbeauftragter,am psychologischen Institut,1986-1989,Universität  Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Klieme, Eckhard",Uni Frankfurt,Promotion,Dr. phil. Psychologie,1988,Universität  Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Klieme, Eckhard",Uni Frankfurt,Wissenschaftlicher Mitarbeiter,Forschungsbereich Erziehungswissenschaft und Bildungssysteme,1998-2001,Max-Planck-Institut für Bildungsforschung,Forschungsbereich für Erziehungswissenschaft und Bildungssysteme,Max-Planck-Institut für Bildungsforschung Emeritusgruppe Erziehungswissenschaft und Bildungssysteme (Berlin),14172
"Klieme, Eckhard",Uni Frankfurt,Direktor,"der Abteilung ""Bildungsqualität und Evaluation""",2001-,Deutsches Institut für Internationale Pädagogische Forschung,Abteilung Bidlungsqualität und Evaluation,Deutsches Institut für Internationale Pädagogische Forschung Abt. Bildungsqualität und Evaluation (Frankfurt am Main),725888
"Klieme, Eckhard",Uni Frankfurt,Professor,Erziehungswissenschaft,2001-,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Klieme, Eckhard",Uni Frankfurt,Direktor,,2004-2008,Deutsches Institut für Internationale Pädagogische Forschung,,Deutsches Institut für Internationale Pädagogische Forschung (Frankfurt am Main),14314
"Klieme, Eckhard",Uni Frankfurt,Visiting Scholar ,"Center for Research on Evaluation, Standards and Student Testing (CRESST)",2008/2009,University of California,,University of California Los Angeles (Los Angeles),3285
"Klieme, Eckhard",Uni Frankfurt,Visiting Scholar ,"Center for Research on Evaluation, Standards and Student Testing (CRESST)",2008/2009,Stanford University,,Stanford University (Stanford),10388
"Klieme, Eckhard",Uni Frankfurt,Visiting Scholar ,,2013/2014,Princeton University,Educational Testing,Educational Testing Service Corporate Headquarters (Princeton),726860
"Klieme, Eckhard",Uni Frankfurt,Distinguished Fellow,,2014/2015,Harvard University,,Harvard University Cambridge (Cambridge),1473
"Friedrichs, Jürgen",Springer,Studium ,"Soziologie, Philosophie, Psychologie und Wolkswirtschaftslehre",1961/11-1968,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Friedrichs, Jürgen",Springer,Wissenschaftlicher Assistent,,1964-1968,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Friedrichs, Jürgen",Springer,Promotion,Dr. phil,1968/07,Universität Hamburg,,Universität Hamburg (Hamburg),3322
"Friedrichs, Jürgen",Springer,Wissenschaftlicher Assistent,an der Forschungsstelle der Akademie für Wirtschaft und Politik,1968/08-1969/02,Universität Hamburg,,Universität Hamburg (Hamburg),3322
